clue,answer,ans_length
"Acquisitive chap, as we see it",COVETOUS,8
Back yard fencing weak and sagging,DROOPY,6
"Stripping off uniform, love holding colonel's coat",UNCLOTHING,10
Without a mark where they should be gained,EXAM,4
Put a stop to Rugby's foul school leader,KNOCK ON THE HEAD,"5,2,3,4"
Foreign letter coming in is the French letter,EPISTLE,7
Charge to pack knick-knacks hurriedly,AGITATO,7
"At first, bear one fruit or another",BANANAS,7
Cited tot defending authoritarian leader,ADDUCED,7
Heady mixture of qualities nurse developed,TEQUILA SUNRISE,"7,7"
A little house might ... be this?,SEMI,4
The writer's twice penning papers of merit,IMPRESSIVE,10
Highest-ranking lady has heart stolen roguishly,ARCHLY,6
Grant a leader in the papers a column,CARYATID,8
Charles's going to loudly show amusement,CHUCKLE,7
Number one Scot with puritanical views,VICTORIAN,9
What handyman has flipping spoils apparel,TOOLKIT,7
Errant knight in huge trouble,UNHINGE,7
"Turned tenacious, holding on",DOGLEGGED,9
"Stuff’s possibly tax-free, before cuts",OVEREAT,7
"Praise, primarily, to give the thing acclaim?",PLAUDIT,7
One admitted to being unstable? It’s still to be settled,LIABILITY,9
This vicar could be the record-holder,ARCHIVIST,9
Complaint received by a miserly sort presenting a threat to workers,ANT BEAR,"3,4"
Liberal leader gave up splitting wood,ASQUITH,7
Light vessel reversed by a kingdom once,ASSYRIA,7
"Ruling line in colour, almost ugly",DYNASTY,7
European bank invests — diving in here?,DEEP END,"4,3"
Number one Scot with puritanical views,VICTORIAN,9
Protective cover Queen got from prime minister,THATCH,6
Share mistake and initially even Wall Street stalls?,PARTERRE,8
Concerned with small emergency arising once more,RESURGENT,9
Vouchsafed information about Roman square,GIVEN,5
Perfectionist maybe disposing of uranium to key operator,PIANIST,7
Concerned with component of blood containing iodine — that’s worrying,SERIOUS,7
Country parrot seen round city,KENYA,5
Trap surrounded by enchantment is irresistible,MAGNETIC,8
One imprisoned in lead alloy by English,INTERNEE,8
Volunteers express disapproval — that’s not acceptable,TABOO,5
"Garden flower that’s female outside, male inside",VERBENA,7
"Little time before long trip, missing start for early contest",TOURNEY,7
Sound beginning when hummingbird is rapidly returning,WHIRR,5
"Is old feeling of delight not starting, being alone?",ISOLATION,9
Member got off by unknown feature of law,LEGALITY,8
European power limited by genuine revocation,REPEAL,6
Where travellers pay to go and fish,TURNPIKE,8
Refuse a black mark,ABSTAIN,7
Skill I learnt initially in prison which some find hard to swallow,CARTILAGE,9
Convincing oneself car has motion,AUTOSUGGESTION,14
Dynamic person is good in bank,TIGER,5
Soft cases used by opera violinists,RAVIOLI,7
Chap from Eagle Street,ERNEST,6
Soft-hearted person posted current crew thanks and tip,SENTIMENTALIST,14
Company went without leader as old as you and I,ENTOURAGE,9
"Royal Opera House deployed piano only, a real sleep inducer",ROHYPNOL,8
Tending to race up and burst into song,NURSING,7
West African country introducing unknown energy fuel mixture,BENZINE,7
Rule first cells must be set up for admission,AVOWAL,6
Record single up around number four in chart,ENROL,5
"Startle, prepared to keep ace and not lead",TAKE A BACK SEAT,"4,1,4,4"
It may get endless representation,IMAGE,5
Message’s tenor we may hear described,VOICEMAIL,9
Think shop needs rebuke,DELIBERATE,10
No time for jokes — strap on leg,JESS,4
"Get cash for proper detached place, not large",REALISE,7
"Republic extremely embarrassed, withdrawing current coins",DENARII,7
"At heart, regrets nothing in Spanish island",GRENADA,7
Burden of work papers,OPPRESS,7
Just open a container,AJAR,4
Fruit and meat including starter of rice for Chinese runner,PEARL RIVER,"5,5"
People arrest smooth boy over a little bling,MEDALLION,9
Maxim’s garden feature?,GNOME,5
"Ma and Granny worried about Junior, a disillusioned playwright",ANGRY YOUNG MAN,"5,5,3"
Old broadcaster’s second trailer for good stuff on compiler,THIRD PROGRAMME,"5,9"
"Frolic about, holding a pen",KRAAL,5
"Land almost nothing, after a West Indian lands one",AZERBAIJAN,10
"Injurious commercial, very Irish",ADVERSE,7
Came together and kept busy at the guillotine?,KNITTED,7
Like some spuds? I had to speak,EYED,4
Agreed toe is deformed somewhat,TO A DEGREE,"2,1,6"
Doctor percussing a lot who will get you looking better,PLASTIC SURGEON,"7,7"
Simple game won’t come to an end — I go to bed,SNAPDRAGON,10
Queen cross with regiment holding up drink,ALEXANDRA,9
Useful feature to order any time,AMENITY,7
"Managed to support some good books: here, The Castle?",OTRANTO,7
"Rev Vicar’s first study, say",VROOM,5
Bullet hit pest,SLUG,4
Intrepid daughter missing parent's sister,DAUNTLESS,9
"Literary genre in South Carolina, one including Kipling poem",SCI,3
Training device transforming Liam's tour,SIMULATOR,9
Plant serving sauce with meat,OXLIP,5
Clothing submerged in northern river?,UNDERWEAR,9
"Popular act, without doubt",INDEED,6
Position of rubbish in South America,STATUS,6
Element Mendeleev originally found in flowering plant,GERMANIUM,9
"Head of police called, revealing accident",PRANG,5
Switch posts near ground,TRANSPOSE,9
"With cunning, son locates youth leaders twice",SLYLY,5
"Stun factory, displaying alyssum, for example",ROCK PLANT,"4,5"
Argument inspector advanced in Home Counties,DISPUTE,7
Destroyed a Parisian serving-girl verbally?,UNMADE,6
Roofer left in middle or row,TILER,5
Amphibian originally eaten for tea,EFT,3
Unexpectedly grumpy about quiet revolution,SURPRISINGLY,12
"One making meteoric progress at Bisley, say?",SHOOTING STAR,"8,4"
Insular type this writer maligns,ISLANDER,8
Plea to dine among competitors,ENTREATY,8
Storm created by English politician during trial,TEMPEST,7
"Shrub found in Michigan, Missouri and South America?",MIMOSA,6
Model put up by a fabulous writer,AESOP,5
Part of circle a churchgoer joined,ARC,3
"Born high or low, pondered changing sides",BLUE-BLOODED,12
Surprisingly content to ignore every new music group,OCTET,5
Promotion of publicly funded entertainment starting three months early?,MARKETING,9
Revolutionary to run broadcasting company,TROTSKY,7
Hybrid animal has feline claw shortened,CATTALO,7
Ordering of pieces from mint is a must for me,NUMISMATIST,11
Madcap display with tops off carelessly,ANYHOW,6
Was a loudmouth Liberal before getting into power?,HOLLERED,8
"Jesus follower uplifted youth with spirited stuff, just past two o'clock?",MARY MAGDALENE,"4,9"
Snake swallowing piece representing half or quarter of artists,BOHEMIA,7
"Hater of Brussels sprouts to start with mushroom, having obsessed about removing cap",EUROSCEPTIC,11
Suave person who won't keep your interest without rifling through it,SMOOTH-BORE,11
Section of Norman arch is thrown into disorder?,ANARCHIST,9
"9 in the morning, stopping long speech",SCREAMED,8
A tiny toll from rise of large deer parasite in egg form,TINKLE,6
"Publicity favoured pushy salesman's data, on paper",PRINTOUT,8
Promise to fix toilet pan,POTENTIAL,9
Disagreement on acceptance of a queen's duty,TARIFF,6
Newlyweds' odd utensil born in couple's being eccentric?,RUNCIBLE SPOON,"8,5"
"Charmer, bachelor in art school, that might be handy in a street fight",SWITCHBLADE,11
"Opposing discrimination, say, came down on a piece from Opera North",EGALITARIAN,11
Perhaps show outrage about popular sportsperson using strong-arm tactics,SHOT-PUTTER,11
Radiant quality of star directed without serious thought,LIGHT-HEADED,12
"Financial juggling, random, with good earnings primarily for the bottom line?",ARBITRAGE,9
A swift kick to the rear as instruction for RUC?,BACK-HEEL,9
Traveller uttered unfocused angry outburst,VAGRANT,7
"Press become tedious, with old content",DRAGOON,7
Labour's core began developing plant in Slough?,BOGBEAN,7
Squirt American uncle that's been dumped overboard,JETSAM,6
Praise out of place in review of books,AUDIT,5
About to go back to a security organisation - one with several branches,ACACIA,6
"Old head has a gin, say, after school",SATRAP,6
One can't go off at nights,INSOMNIAC,9
Perth perv returned to dance,REEL,4
Seat in tree is rare,BREECH,6
French policeman or criminal armed with information,GENDARME,8
Train Earl to get more canny touring Pennsylvania,ESPALIER,8
Monkey outside small recess,APSE,4
Ruined a sculpture,BUST,4
During psalm conductor talks foolishly,PRATTLES,8
Robert put old tie on American bird,BOBOLINK,8
Doctor entertains artist with piano and a brandy,GRAPPA,6
Bats finally settling on stove,GAGA,4
Short belt - one form of punishment creating a storm!,HURRICANE,9
Great cricketer becomes more like a judge?,SOBERS,6
Flat behind the Spanish cardinal,ELEVEN,6
Painting Caruso performing with choir,CHIAROSCURO,11
Class left out of big house,CASTE,5
A jolly cleaner goes round one piece of furniture,ARMCHAIR,8
Back in a short while,SECOND,6
Swimming manager fills dry bag,TERMAGANT,9
Grog makes you dim when put under pressure,ALE,3
"Farm facility with fallen leader, grabbed by criminal mastermind with yen for dodgy deals",JIGGERY POKERY,"7,6"
To defeat hunk is an outstanding achievement,MASTERPIECE,11
American left a flashing light outside as a navigator's aid,ASTROLABE,9
Stupid angler almost hit pipe,NARGHILE,8
Blackpool is known for such organs,LIGHTS,6
