clue,answer,source
"in another, saw end of prayer cut short with entry of queen (5,4)",NOTRE DAME,times_xwd_times
Father has a chap returning hat (6),PANAMA,times_xwd_times
Housekeeper died: ravens flying about (7),DANVERS,times_xwd_times
Suffer at home with vicious mutt (5),INCUR,times_xwd_times
Odd pieces removed from very new organ (3),EYE,times_xwd_times
Retired priest following northern river (4),NILE,times_xwd_times
Man I have heard on the radio (5),ROGER,times_xwd_times
"Out of harm's way, insane criminals (4-8)",SAFE,times_xwd_times
Ragout of game containing a highly seasoned sausage (6),SALAMI,times_xwd_times
Weapons found in farmstead (4),ARMS,times_xwd_times
Someone acting for another in favour of two unknowns (5),PROXY,times_xwd_times
Both Stuart and Dionne half-completed artist's workroom (6),STUDIO,times_xwd_times
Resolved to restrict cold with health-giving ingredients (9),MEDICATED,times_xwd_times
Number one Scot with puritanical views (9),VICTORIAN,times_xwd_times
Priest and French actor performing? It's uplifting (10),LEVITATION,times_xwd_times
Be left with large and ultimately unlovely stomach (5),BELLY,times_xwd_times
Just managed to put up with Lowry novel (8),NARROWLY,times_xwd_times
The man’s gaining tons in robbery (5),HEIST,times_xwd_times
"Personal target leading to footballer’s error (3,4)",OWN GOAL,times_xwd_times
This vicar could be the record-holder (9),ARCHIVIST,times_xwd_times
"We're short of tailored clothing that's tight (3,5,3,4)",THE WORSE FOR WEAR,times_xwd_times
"Ditch, I hear, with predictable exceptions gets more slippery (5)",ICIER,times_xwd_times
A blush digesting record of debt leaving son to the very end bitter (11),ACRIMONIOUS,times_xwd_times
Key rings unable to be brought up (5),TABOO,times_xwd_times
Proposed name I don't change (9),NOMINATED,times_xwd_times
Place to set free American skunk (7),POLECAT,times_xwd_times
"Fine inventions, jets? (5)",FLIES,times_xwd_times
Match the Devil (7),LUCIFER,times_xwd_times
"Hot and cold, turning unwell, with this? (5)",CHILL,times_xwd_times
Position of rubbish in South America (6),STATUS,times_xwd_times
I’m after gold that’s fake (8),IMPOSTOR,times_xwd_times
Just open a container (4),AJAR,times_xwd_times
